Recipe_Name,Ingredients,Number_of_Ingredients,Amounts,Cooking_Time,Cooking_Time_Unit,Cooking_Time_Seconds,Calories,Sodium,Fat,Protein,Carbs,Fiber,Servings,Star_Rating,Number_of_Reviews,Course,Directions,avocado,banana,basil,beans,beef,bell pepper,broccoli,butter,carrot,celery,chicken breast,cilantro,cucumber,egg,eggplant,flour,garlic,garlic powder,ginger,green beans,ground beef,honey,lemon,lettuce,lime,mayonnaise,milk,mozzarella,mushroom,oil,olive oil,onion,oregano,paprika,pasta,pepper,potato,red onion,salmon,salt,scallion,shrimp,soy sauce,sugar,tomato,tomato paste,water,yogurt,zucchini,Actual_Ingredients,Number_of_Actual_Ingredients,Remove_Indices_1
Super Burgers,"['portabellas', 'whole wheat hamburger buns', 'ground beef', 'cooking spray', 'ranch dressing', 'shredded mexican cheese blend']",6,"{'portabellas': '6 ounces ', 'whole wheat hamburger buns': '1  ', 'ground beef': '1 pound ', 'cooking spray': '1.5 cups ', 'ranch dressing': '6 tablespoons ', 'shredded mexican cheese blend': '4  '}",30,Minutes,1800,,,,,,,4,,0,Main Dish,http://yummly.com/recipe/Super-Burgers-2354945,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"['portabellas', 'whole wheat hamburger buns', 'ground beef', 'cooking spray', 'ranch dressing', 'shredded mexican cheese blend']",6,[]
Moussaka Meatballs,"['onion', 'chopped tomatoes', 'oregano', 'garlic', 'salt', 'olive oil spray', 'milk', 'stock', 'arrowroot powder', 'Italian parsley', 'eggplant', 'ground lamb', 'red wine vinegar', 'black pepper', 'paprika', 'Parmesan']",16,"{'onion': '600 grams ', 'chopped tomatoes': '1  ', 'oregano': '2 cloves ', 'garlic': '1  ', 'salt': '750 grams ', 'olive oil spray': '2 teaspoons ', 'milk': '2 teaspoons ', 'stock': '500 milliliters ', 'arrowroot powder': '1 tablespoon ', 'Italian parsley': '1  ', 'eggplant': '1  ', 'ground lamb': '1  ', 'red wine vinegar': '1 cup ', 'black pepper': '90 grams ', 'paprika': '1 tablespoon ', 'Parmesan': '1  '}",85,Minutes,5100,710,1080mg,44g,45g,35g,9g,4,,0,Main Dish,http://yummly.com/recipe/Moussaka-Meatballs-2112306,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,5,0,2,14,-1,13,-1,-1,-1,4,-1,-1,-1,-1,1,-1,-1,-1,-1,"['onion', 'chopped tomatoes', 'garlic', 'milk', 'stock', 'arrowroot powder', 'Italian parsley', 'eggplant', 'ground lamb', 'red wine vinegar', 'Parmesan']",11,"[4, 13, 14, 2, 5]"
Hot and Sweet Cubano Sandwich,"['chinese mustard', 'pepper', 'salt', 'swiss cheese', 'plum jelly', 'boneless pork loin roast', 'green chile', 'honey glazed ham', 'unsalted butter', 'submarine rolls']",10,"{'chinese mustard': '2 pounds ', 'pepper': '1 pound ', 'salt': '1 teaspoon ', 'swiss cheese': '1 teaspoon ', 'plum jelly': '1 cup ', 'boneless pork loin roast': '8 whole ', 'green chile': '0.75 cup ', 'honey glazed ham': '8 slices ', 'unsalted butter': '14 ounces ', 'submarine rolls': '4 tablespoons '}",105,Minutes,6300,,,,,,,8,,0,Main Dish,http://yummly.com/recipe/Hot-and-Sweet-Cubano-Sandwich-1313298,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,"['chinese mustard', 'swiss cheese', 'plum jelly', 'boneless pork loin roast', 'green chile', 'honey glazed ham', 'unsalted butter', 'submarine rolls']",8,"[2, 1]"
Honey Garlic Salmon,"['olive oil', 'garlic', 'salt', 'honey', 'black pepper', 'salmon', 'lemon', 'apple cider vinegar', 'cayenne pepper', 'warm water']",10,"{'olive oil': '12 ounces ', 'garlic': '1  ', 'salt': '1  ', 'honey': '1 pinch ', 'black pepper': '2 tablespoons ', 'salmon': '1 tablespoon ', 'lemon': '1.5 teaspoons ', 'apple cider vinegar': '1 tablespoon ', 'cayenne pepper': '3 cloves ', 'warm water': '0.5  '}",20,Minutes,1200,230,340mg,8g,23g,17g,2g,3,4.5,3,Main Dish,http://yummly.com/recipe/Honey-Garlic-Salmon-1285094,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,3,6,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,4,-1,-1,5,2,-1,-1,-1,-1,-1,-1,9,-1,-1,"['garlic', 'honey', 'salmon', 'lemon', 'apple cider vinegar', 'cayenne pepper']",6,"[2, 4, 0, 9]"
Grilled Chicken Panini,"['Tyson® Grilled Chicken Breast Strips', 'olive oil', 'Italian bread', 'provolone cheese', 'pesto sauce']",5,"{'Tyson® Grilled Chicken Breast Strips': '12 ounces ', 'olive oil': '0.5 cup ', 'Italian bread': '8 slices ', 'provolone cheese': '4 slices ', 'pesto sauce': '0.25 cup '}",20,Minutes,1200,700,1280mg,42g,30g,52g,,4,,0,Lunch,http://yummly.com/recipe/Grilled-Chicken-Panini-9063830,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"['Tyson® Grilled Chicken Breast Strips', 'Italian bread', 'provolone cheese', 'pesto sauce']",4,[1]
Healthy Green Smoothie,"['banana', 'frozen mixed berries', 'spinach', 'apple juice']",4,"{'banana': '0.5 cup ', 'frozen mixed berries': '1 cup ', 'spinach': '1  ', 'apple juice': '1 cup '}",15,Minutes,900,170,30mg,,2g,42g,4g,1,4.5,61,Beverag,http://yummly.com/recipe/Healthy-Green-Smoothie-1031235,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"['banana', 'frozen mixed berries', 'spinach', 'apple juice']",4,[]
Loaded Pizza Pasta Casserole,"['diced tomatoes', 'onion', 'olive oil', 'oregano', 'sliced pepperoni', 'garlic', 'chopped bell pepper', 'salt', 'lean ground beef', 'pizza sauce', 'crushed red pepper', 'shredded mozzarella cheese', 'fusilli', 'sliced mushrooms', 'basil', 'ripe olives', 'freshly ground black pepper']",17,"{'diced tomatoes': '10 ounces ', 'onion': '2 tablespoons ', 'olive oil': '8 ounces ', 'oregano': '1 pound ', 'sliced pepperoni': '1  ', 'garlic': '0.5 cup ', 'chopped bell pepper': '2 cloves ', 'salt': '0.5 teaspoon ', 'lean ground beef': '0.5 teaspoon ', 'pizza sauce': '0.5 teaspoon ', 'crushed red pepper': '14 ounces ', 'shredded mozzarella cheese': '14.5 ounces ', 'fusilli': '2 cans ', 'sliced mushrooms': '6 ounces ', 'basil': '1  ', 'ripe olives': '1  ', 'freshly ground black pepper': '16 ounces '}",70,Minutes,4200,580,1080mg,31g,37g,38g,4g,8,,0,Main Dish,http://yummly.com/recipe/Loaded-Pizza-Pasta-Casserole-2101171,-1,-1,14,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,11,13,-1,2,1,3,-1,-1,16,-1,-1,-1,7,-1,-1,-1,-1,0,-1,-1,-1,-1,"['diced tomatoes', 'onion', 'sliced pepperoni', 'garlic', 'chopped bell pepper', 'lean ground beef', 'pizza sauce', 'crushed red pepper', 'shredded mozzarella cheese', 'fusilli', 'sliced mushrooms', 'basil', 'ripe olives']",13,"[7, 16, 3, 2]"
Salmon Tacos,"['lime juice', 'sweet pepper', 'corn tortillas', 'lime wedges', 'salmon', 'shredded cabbage', 'fresh cilantro', 'sour cream']",8,"{'lime juice': '0.5  ', 'sweet pepper': '1 tablespoon ', 'corn tortillas': '8  ', 'lime wedges': '1 cup ', 'salmon': '0.5 cup ', 'shredded cabbage': '1  ', 'fresh cilantro': '1  ', 'sour cream': '1  '}",20,Minutes,1200,210,65mg,10g,4g,29g,5g,4,5,3,Main Dish,http://yummly.com/recipe/Salmon-Tacos-1016899,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"['lime juice', 'sweet pepper', 'corn tortillas', 'lime wedges', 'salmon', 'shredded cabbage', 'fresh cilantro', 'sour cream']",8,[]
Fajita Chicken Casserole - Advantium 240 Wall Oven Version,"['diced onion', 'chicken broth', 'cream of chicken soup', 'cooked chicken', 'diced tomatoes with chilies', 'fajita seasoning', 'sour cream', 'instant rice', 'mexican blend cheese']",9,"{'diced onion': '4 cups ', 'chicken broth': '2 cups ', 'cream of chicken soup': '10.5 ounces ', 'cooked chicken': '1 cup ', 'diced tomatoes with chilies': '1 cup ', 'fajita seasoning': '10 ounces ', 'sour cream': '1.5 cups ', 'instant rice': '1.12 ounces ', 'mexican blend cheese': '8 ounces '}",25,Minutes,1500,480,980mg,27g,30g,30g,2g,8,4.5,85,Main Dish,http://yummly.com/recipe/Fajita-Chicken-Casserole---Advantium-240-Wall-Oven-Version-2223892,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"['diced onion', 'chicken broth', 'cream of chicken soup', 'cooked chicken', 'diced tomatoes with chilies', 'fajita seasoning', 'sour cream', 'instant rice', 'mexican blend cheese']",9,[]
Crock-Pot Easy Garlic Brown Sugar Chicken,"['boneless, skinless chicken breasts', 'garlic', 'olive oil', 'brown sugar']",4,"{'boneless, skinless chicken breasts': '2 pounds ', 'garlic': '4 cloves ', 'olive oil': '2 tablespoons ', 'brown sugar': '0.5 cup '}",10,Minutes,600,390,270mg,14g,48g,19g,0g,4,,0,Main Dish,http://yummly.com/recipe/Crock-Pot-Easy-Garlic-Brown-Sugar-Chicken-2202490,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,"['boneless, skinless chicken breasts', 'garlic']",2,"[3, 2]"
Italian Stuffed Peppers,"['red bell peppers', 'McCormick Garlic Powder', 'salt', 'chopped onion', 'McCormick Black Pepper', 'lean ground beef', 'tomato sauce', 'shredded mozzarella cheese', 'mccormick perfect pinch italian seasoning', 'cooked rice']",10,"{'red bell peppers': '4  ', 'McCormick Garlic Powder': '1.5 pounds ', 'salt': '1 cup ', 'chopped onion': '1 cup ', 'McCormick Black Pepper': '2 teaspoons ', 'lean ground beef': '0.5 teaspoon ', 'tomato sauce': '0.5 teaspoon ', 'shredded mozzarella cheese': '0.25 teaspoon ', 'mccormick perfect pinch italian seasoning': '2 cans ', 'cooked rice': '0.5 cup '}",75,Minutes,4500,,,,,,,4,4.5,73,Main Dish,http://yummly.com/recipe/Italian-Stuffed-Peppers-2320396,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,"['red bell peppers', 'McCormick Garlic Powder', 'chopped onion', 'McCormick Black Pepper', 'lean ground beef', 'tomato sauce', 'shredded mozzarella cheese', 'mccormick perfect pinch italian seasoning', 'cooked rice']",9,[2]
Crab Stuffed Salmon,"['Old Bay Seasoning', 'crab meat', 'salmon', 'green onions', 'cream cheese']",5,"{'Old Bay Seasoning': '12 ounces ', 'crab meat': '0.25 cup ', 'salmon': '2 tablespoons ', 'green onions': '4 ounces ', 'cream cheese': '1 teaspoon '}",45,Minutes,2700,170,190mg,8g,23g,<1g,0g,4,5,4,Main Dish,http://yummly.com/recipe/Crab-Stuffed-Salmon-1228218,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,"['Old Bay Seasoning', 'crab meat', 'salmon', 'green onions', 'cream cheese']",5,[]
